DATA,Simulation_reset
0.022,TARGET_SPAWNED,roundNumber:(0),ballPos:(x: 1.6 y: 0.0 z: 0.3),robPos:(x: 0.0 y: 0.0 z: 0.1915622)
0.461,TARGET_START_MOVING,roundNumber:(0),destination:(x: 2.1 y: 0.0 z: 0.3),ballPos:(x: 1.6 y: 0.0 z: 0.3),inverted:(False),robPos:(x: -1.925439281e-07 y: 1.19580008706e-07 z: 0.0460000021884)
2.461,TARGET_WAITING,roundNumber:(0),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.0879982130621 y: 0.0188128978045 z: 0.0516918877498)
4.463,TARGET_DELETED,roundNumber:(0),ballPos:(x: 1.6 y: 0.0 z: 0.3),robPos:(x: 0.00913731970483 y: 0.0508635688086 z: 0.0459998234822)
4.683,RESET,roundNumber:(0),destination:(x: 2.1 y: 0.0 z: 0.3),ballPos:(x: 0.0 y: 0.0 z: 0.0),inverted:(False),robPos:(x: 0.0158961058566 y: 0.0777853328032 z: 0.0470976352558)
4.701,TARGET_SPAWNED,roundNumber:(1),ballPos:(x: 1.6 y: 0.0 z: 0.3),robPos:(x: 1.4029750384e-05 y: 0.000417790030369 z: 0.19800532795)
5.121,TARGET_START_MOVING,roundNumber:(1),destination:(x: 2.1 y: 0.0 z: 0.3),ballPos:(x: 1.6 y: 0.0 z: 0.3),inverted:(True),robPos:(x: 0.000103121034789 y: 0.00144714010034 z: 0.0460011905837)
5.141,TARGET_START_MOVING,roundNumber:(1),destination:(x: 2.1 y: 0.0 z: 0.3),ballPos:(x: 1.6001799856 y: 0.0 z: 0.3),inverted:(True),robPos:(x: 0.00010311530435 y: 0.00144666410837 z: 0.0460012371755)
6.141,TARGET_WAITING,roundNumber:(1),ballPos:(x: 1.6001799856 y: 0.0 z: 0.3),stepcounter:(1),robPos:(x: -0.0951774019527 y: -0.0141064829138 z: 0.070735489699)
8.141,TARGET_WAITING,roundNumber:(1),ballPos:(x: 1.6001799856 y: 0.0 z: 0.3),stepcounter:(1),robPos:(x: -0.127471658998 y: 0.0112710058529 z: 0.0495163703564)
9.144,TARGET_DELETED,roundNumber:(1),ballPos:(x: 1.6001799856 y: 0.0 z: 0.3),robPos:(x: -0.00492275129606 y: -0.0375405307881 z: 0.0469758094897)
9.363,RESET,roundNumber:(1),destination:(x: 2.1 y: 0.0 z: 0.3),ballPos:(x: 0.0 y: 0.0 z: 0.0),inverted:(True),robPos:(x: -0.00501918083946 y: -0.0374284330374 z: 0.0509509245065)
9.381,TARGET_SPAWNED,roundNumber:(2),ballPos:(x: 1.6 y: 0.0 z: 0.3),robPos:(x: 3.25558389278e-05 y: -0.000486118558041 z: 0.198187994997)
9.801,TARGET_START_MOVING,roundNumber:(2),destination:(x: 2.1 y: 0.0 z: 0.3),ballPos:(x: 1.6 y: 0.0 z: 0.3),inverted:(False),robPos:(x: 0.000535564932665 y: -0.00178131793363 z: 0.0460023679892)
9.821,TARGET_START_MOVING,roundNumber:(2),destination:(x: 2.1 y: 0.0 z: 0.3),ballPos:(x: 1.6001799856 y: 0.0 z: 0.3),inverted:(False),robPos:(x: 0.00053555419713 y: -0.0017797340373 z: 0.0460025165036)
10.341,TARGET_WAITING,roundNumber:(2),ballPos:(x: 1.6005399568 y: 0.0 z: 0.3),stepcounter:(3),robPos:(x: -0.0675207962748 y: 0.0246094678595 z: 0.0622301328547)
12.341,TARGET_WAITING,roundNumber:(2),ballPos:(x: 1.6005399568 y: 0.0 z: 0.3),stepcounter:(3),robPos:(x: -0.101525794666 y: -0.0197879898909 z: 0.0478799343966)
13.843,TARGET_DELETED,roundNumber:(2),ballPos:(x: 1.6005399568 y: 0.0 z: 0.3),robPos:(x: 0.0306819186037 y: 0.0856016901917 z: 0.0460274531365)
14.063,RESET,roundNumber:(2),destination:(x: 2.1 y: 0.0 z: 0.3),ballPos:(x: 0.0 y: 0.0 z: 0.0),inverted:(False),robPos:(x: 0.0342285900207 y: 0.0989763857294 z: 0.0464344037342)
14.081,TARGET_SPAWNED,roundNumber:(3),ballPos:(x: 1.6 y: 0.0 z: 0.3),robPos:(x: 1.91569419662e-06 y: -0.000288460260951 z: 0.197926613854)
14.501,TARGET_START_MOVING,roundNumber:(3),destination:(x: 2.1 y: 0.0 z: 0.3),ballPos:(x: 1.6 y: 0.0 z: 0.3),inverted:(True),robPos:(x: -3.11118835263e-05 y: -0.00104695129537 z: 0.0460002152944)
16.021,TARGET_WAITING,roundNumber:(3),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.0977750273758 y: 0.0322231924052 z: 0.0563686268117)
18.021,TARGET_WAITING,roundNumber:(3),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.116004474087 y: 0.0367777341262 z: 0.047270032974)
20.021,TARGET_WAITING,roundNumber:(3),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.0966935082891 y: 0.00999963363645 z: 0.0510896374653)
22.026,TARGET_DELETED,roundNumber:(3),ballPos:(x: 1.6 y: 0.0 z: 0.3),robPos:(x: 0.0185357288551 y: -0.187672539948 z: 0.0493362218494)
22.242,RESET,roundNumber:(3),destination:(x: 2.1 y: 0.0 z: 0.3),ballPos:(x: 0.0 y: 0.0 z: 0.0),inverted:(True),robPos:(x: 0.0185794374028 y: -0.186769727706 z: 0.0555844881231)
22.261,TARGET_SPAWNED,roundNumber:(4),ballPos:(x: 1.6 y: 0.0 z: 0.3),robPos:(x: 3.09575643098e-05 y: 0.00015714577515 z: 0.1981659085)
22.681,TARGET_START_MOVING,roundNumber:(4),destination:(x: 2.1 y: 0.0 z: 0.3),ballPos:(x: 1.6 y: 0.0 z: 0.3),inverted:(False),robPos:(x: -0.0399093739677 y: 0.0353303535113 z: 0.0547824901739)
24.201,TARGET_WAITING,roundNumber:(4),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.0991456296514 y: -0.0237669695878 z: 0.0467820734079)
26.201,TARGET_WAITING,roundNumber:(4),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.104977780513 y: -0.0190635482248 z: 0.0465705140683)
28.201,TARGET_WAITING,roundNumber:(4),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.0655777945432 y: -0.0906237307155 z: 0.0540375396906)
30.201,TARGET_WAITING,roundNumber:(4),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.0643759476425 y: -0.255899498921 z: 0.0530636813099)
32.201,TARGET_WAITING,roundNumber:(4),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.0852151770831 y: -0.256178886871 z: 0.0477481637854)
33.722,TARGET_DELETED,roundNumber:(4),ballPos:(x: 1.6 y: 0.0 z: 0.3),robPos:(x: 0.0535497846494 y: -0.171575475449 z: 0.0460428597217)
33.943,RESET,roundNumber:(4),destination:(x: 2.1 y: 0.0 z: 0.3),ballPos:(x: 0.0 y: 0.0 z: 0.0),inverted:(False),robPos:(x: 0.0618609691571 y: -0.144248364476 z: 0.0592560330222)
33.961,TARGET_SPAWNED,roundNumber:(5),ballPos:(x: 1.6 y: 0.0 z: 0.3),robPos:(x: -3.11125447743e-05 y: -8.70492876849e-05 z: 0.197719210132)
34.381,TARGET_START_MOVING,roundNumber:(5),destination:(x: 2.1 y: 0.0 z: 0.3),ballPos:(x: 1.6 y: 0.0 z: 0.3),inverted:(True),robPos:(x: -0.000250874366283 y: -0.000484220741606 z: 0.0460010588749)
34.401,TARGET_WAITING,roundNumber:(5),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.000250939049792 y: -0.000484948582968 z: 0.0460012914717)
36.401,TARGET_WAITING,roundNumber:(5),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.11694538255 y: -0.0136339548894 z: 0.0468030441432)
38.401,TARGET_WAITING,roundNumber:(5),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.115134706691 y: -0.0185765551283 z: 0.0462304618516)
40.401,TARGET_WAITING,roundNumber:(5),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.0586108566703 y: 0.0715994019456 z: 0.0549280588785)
42.401,TARGET_WAITING,roundNumber:(5),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.071648933574 y: 0.235347899032 z: 0.0465629191384)
44.401,TARGET_WAITING,roundNumber:(5),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.0798360763468 y: 0.237950276348 z: 0.0470204808235)
44.903,TARGET_DELETED,roundNumber:(5),ballPos:(x: 1.6 y: 0.0 z: 0.3),robPos:(x: 0.0457212573805 y: 0.152775377521 z: 0.0491234714725)
45.123,RESET,roundNumber:(5),destination:(x: 2.1 y: 0.0 z: 0.3),ballPos:(x: 0.0 y: 0.0 z: 0.0),inverted:(True),robPos:(x: 0.0458083060106 y: 0.152517090076 z: 0.0526148004556)
45.141,TARGET_SPAWNED,roundNumber:(6),ballPos:(x: 1.6 y: 0.0 z: 0.3),robPos:(x: 7.56353679305e-06 y: -3.80521943779e-05 z: 0.197971395729)
45.561,TARGET_START_MOVING,roundNumber:(6),destination:(x: 2.1 y: 0.0 z: 0.3),ballPos:(x: 1.6 y: 0.0 z: 0.3),inverted:(False),robPos:(x: -0.106176271809 y: -0.024725505426 z: 0.0716654424013)
46.081,TARGET_WAITING,roundNumber:(6),ballPos:(x: 1.6 y: 0.0 z: 0.3),stepcounter:(0),robPos:(x: -0.0754274780723 y: -0.010414751101 z: 0.0717201770705)
